title,readers,rating,gender,author
The Housemaid,90379,4.27,female,Freida McFadden
Sunrise on the Reaping,72349,4.5,female,Suzanne Collins
Fourth Wing,56795,4.57,female,Rebecca Yarros
Onyx Storm,53092,4.21,female,Rebecca Yarros
Iron Flame,51425,4.36,female,Rebecca Yarros
The Tenant,50880,3.83,female,Freida McFadden
The Housemaid's Secret,50029,4.16,female,Freida McFadden
A Court of Thorns and Roses,45396,5.15,female,Sarah J. Maas 
The Wedding,42783,4.08,female,Alison Espach
A Court of Mist and Fury,40871,4.63,female,Sarah J. Maas 
